Uemoisas	####	####				
        	#Uuemõisas	Uuemõisa	s		H	sg in
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
15mal	####	####				
     	#15ndal	15=s	l		O	sg ad
Mail	Mai	Mai	l		H	sg ad
    	maa	maa	il		S	pl ad
    	mail	mail	0		S	sg n
    	@mail	mai	l		S	sg ad
.	.	.			Z	
Kous	####	####				
    	#koos	koos	0		D	
ollid	####	####				
     	#olid	ole	id		V	sid
Peakohtomees	####	####				
            	#peakohtumees	pea_kohtu_mees	0		S	sg n
:	:	:			Z	
Hans	Hans	Hans	0		H	sg n
Sepper	####	####				
      	#Sepper	Sepper	0		H	sg n
Körwasmehhed	####	####				
            	#kõrvamehed	kõrva_mees	d		S	pl n
:	:	:			Z	
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Eldermann	####	####				
         	#Eldermann	Eldermann	0		H	sg n
""""	""""	""""			Z	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Rosenbaum	####	####				
         	#Rosenbaum	Rosenbaum	0		H	sg n
Palimatso	####	####				
         	#Palimatsu	Palimatso	0		H	sg g
perremehhe	####	####				
          	#peremehe	pere_mees	0		S	sg g
,	,	,			Z	
Johan	Johan	Johan	0		H	sg n
Paela	pael	pael	0		S	adt
     	pael	pael	0		S	sg g
     	pael	pael	0		S	sg p
     	paela	paela	0		V	o
     	£Paela	Pael	0		H	sg g
palwe	@palve	palve	0		S	sg g
     	palve	palve	0		S	sg n
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
se	####	####				
  	#see	see	0		P	sg n
endine	endine	endine	0		A	sg n
Ikkaspallo	####	####				
          	#Ikaspalu	Ikkaspallo	0		H	sg g
perrekohha	####	####				
          	#perekoha	pere_koht	0		S	sg g
üllewaatja	####	####				
          	#ülevaataja	üle_vaataja	0		S	sg n
Maddis	####	####				
      	#Madis	Maddis	0		H	sg n
Repnau	####	####				
      	#Repnau	Repnau	0		H	sg n
,	,	,			Z	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
minnewal	####	####				
        	#mineval	minev	l		A	sg ad
suil	suu	suu	il		S	pl ad
    	£suvel	suvi	l		S	sg ad
1866	1866	1866	0		N	?
Joh	####	####				
   	#Joh	Joh	0		Y	?
.	.	.			Z	
Paelalt	pael	pael	lt		S	sg abl
       	£Paelalt	Pael	lt		H	sg abl
ärrawarrastut	####	####				
             	#ära_varastatud	ära_varasta	tut		V	tud
lehma	lehm	lehm	0		S	adt
     	@lehma	lehm	0		S	sg g
     	lehm	lehm	0		S	sg p
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
,	,	,			Z	
(	(	(			Z	
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
Ikkaspallos	####	####				
           	#Ikaspalus	Ikkaspallo	s		H	sg in
söma	####	####				
    	¤					
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
olli	####	####				
    	#oli	ole	i		V	s
,	,	,			Z	
ja	ja	ja	0		J	
sealt	@sealt	sealt	0		D	
     	siga	siga	lt		A	sg abl
     	siga	siga	lt		S	sg abl
ärrawarrastadi	####	####				
              	#ära_varastati	ära_varasta	ti		V	ti
)	)	)			Z	
,	,	,			Z	
üllekulatud	####	####				
           	#üle_kuulatud	üle_kuula	tud		V	tud
:	:	:			Z	
Maddis	####	####				
      	#Madis	Maddis	0		H	sg n
Repnau	####	####				
      	#Repnau	Repnau	0		H	sg n
wastab	vastab	vasta	b		V	b
:	:	:			Z	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
,	,	,			Z	
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
Leno	####	####				
