Protokoll	protokoll	protokoll	0		S	sg n
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
10mal	####	####				
     	#10ndal	10=s	l		O	sg ad
Oktobril	####	####				
        	#oktoobril	oktoober	0		S	sg ad
1870	1870	1870	0		N	?
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
astub	astub	astu	b		V	b
Gustas	####	####				
      	#Gustas	Gustas	0		H	sg n
Enner	####	####				
     	#Enner	Enner	0		H	sg n
ja	ja	ja	0		J	
kaebab	kaebab	kaeba	b		V	b
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
moisas	####	####				
      	#mõisas	mõis	s		S	sg in
karttuhwlid	kart_tuhvel	kart_tuhvel	d		S	pl n
           	£kartulid	kartohvel	d		S	pl n
weddanud	####	####				
        	#vedanud	veda	nud		V	nud
,	,	,			Z	
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ratsa	ratsa	ratsa	0		D	
hobbosega	####	####				
         	#hobusega	hobune	ga		S	sg kom
lõunele	####	####				
       	#lõunale	lõuna	le		S	sg all
läind	####	####				
     	#läinud	mine	nd		V	nud
ja	ja	ja	0		J	
Karel	####	####				
     	#Kaarel	Karel	0		H	sg n
Krenbaum	####	####				
        	#Krinbaum	Krinbaum	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
hobbost	####	####				
       	#hobust	hobune	t		S	sg p
hirmotand	####	####				
         	#hirmutanud	hirmuta	nd		V	nud
ja	ja	ja	0		J	
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
mütsi	müts	müts	0		S	adt
     	@mütsi	müts	0		S	sg g
     	müts	müts	0		S	sg p
peast	peane	peane	t		S	sg p
     	peast	peast	0		K	
     	@peast	pea	st		S	sg el
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
löönd	####	####				
     	#löönud	löö	nd		V	nud
hobboselle	####	####				
          	#hobusele	hobune	le		S	sg all
wasta	vasta	vasta	0		V	o
     	@vastu	vastu	0		D	
     	vastu	vastu	0		K	
ja	ja	ja	0		J	
hobbone	####	####				
       	#hobune	hobune	0		S	sg n
kukkunud	kukku=nud	kukku=nud	0		A	
        	kukku=nud	kukku=nud	0		A	sg n
        	kukku=nu	kukku=nu	d		S	pl n
        	kukku=nud	kukku=nud	d		A	pl n
        	@kukkunud	kukku	nud		V	nud
mahha	####	####				
     	#maha	maha	0		D	
ja	ja	ja	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
jäänd	####	####				
     	#jäänud	jää	nd		V	nud
hobbose	####	####				
       	#hobuse	hobune	0		S	sg g
halla	hall	hall	0		S	adt
     	hall	hall	0		S	sg g
     	hall	hall	0		S	sg p
     	£alla	alla	0		K	
ja	ja	ja	0		J	
hobbone	####	####				
       	#hobune	hobune	0		S	sg n
läind	####	####				
     	#läinud	mine	nd		V	nud
ülle	ülle	ülle	0		D	
    	üle	üle	0		D	
    	@üle	üle	0		K	
kaela	kael	kael	0		S	adt
     	@kaela	kael	0		S	sg g
     	kael	kael	0		S	sg p
     	kaela	kaela	0		K	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
ülle	ülle	ülle	0		D	
    	üle	üle	0		D	
    	@üle	üle	0		K	
,	,	,			Z	
ja	ja	ja	0		J	
kaebab	kaebab	kaeba	b		V	b
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
üks	üks	üks	0		N	sg n
   	@üks	üks	0		P	sg n
pääw	####	####				
    	#päev	päev	0		S	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
järrel	####	####				
      	järel	järel	0		D	
      	#järel	järel	0		K	
haige	haige	haige	0		A	sg g
