Prottokoll	####	####				
          	#protokoll	protokoll	0		S	sg n
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
1missel	####	####				
       	#1sel	1=ne	l		O	sg ad
Märzil	####	####				
      	#märtsil	märts	l		S	sg ad
1872.	1872.	1872.	0		O	?
Koos	@koos	koos	0		D	
    	koos	koos	0		K	
    	koos	koos	0		S	sg n
    	kubu	kubu	s		S	sg in
ollid	####	####				
     	#olid	ole	id		V	sid
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
Peawannem	####	####				
         	#peavanem	pea_vanem	0		S	sg n
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Kandelin	####	####				
        	#Kandelin	Kandelin	0		H	sg n
Kõrwamed	####	####				
        	#kõrvamehed	kõrva_mees	d		S	pl n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Raudmez	####	####				
       	#Raudmez	Raudmez	0		H	sg n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Epmann	####	####				
      	#Epmann	Epmann	0		H	sg n
Kirjutaja	kirjutaja	kirjutaja	0		S	sg g
         	@kirjutaja	kirjutaja	0		S	sg n
H. Saarmo	####	####				
         	#H._Saarmo	H._Saarmo	0		H	sg n
<U+2116>	<U+2116>	<U+2116>	0		Y	?
8.	8.	8.	0		O	?
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
astus	astus	astu	s		V	s
Weätsa	####	####				
      	#Väätsa	Weätsa	0		H	sg g
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
mees	@mees	mees	0		S	sg n
    	mesi	mesi	s		S	sg in
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Silmann	####	####				
       	#Silmann	Silmann	0		H	sg n
ja	ja	ja	0		J	
kaebas	kaebas	kaeba	s		V	s
,	,	,			Z	
et	et	et	0		J	
nemmad	####	####				
      	#nemad	tema	d		P	pl n
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
üks	üks	üks	0		N	sg n
   	@üks	üks	0		P	sg n
pühha	####	####				
     	#püha	püha	0		S	sg g
pääw	####	####				
    	#päev	päev	0		S	sg n
kolmekssi	####	####				
         	#kolmekesi	kolmekesi	0		D	
,	,	,			Z	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
,	,	,			Z	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
naine	naine	naine	0		S	sg n
ja	ja	ja	0		J	
poeg	poeg	poeg	0		S	sg n
Tõnno	####	####				
     	#Tõnu	Tõnno	0		H	sg n
ühhe	####	####				
    	ühe	ühe	0		S	sg n
    	ühe	üks	0		N	sg g
    	#ühe	üks	0		P	sg g
sani	####	####				
    	#saani	saan	0		S	sg g
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
sõites	sõites	sõit	es		V	des
kirriko	####	####				
       	#kiriku	kirik	0		S	sg g
jurest	####	####				
      	#juurest	juurest	0		K	
taggasi	####	####				
       	#tagasi	tagasi	0		D	
       	tagasi	tagasi	0		K	
tulles	tulles	tule	es		V	des
Kirna	####	####				
     	#Kirna	Kirna	0		H	sg g
Wissowerre	####	####				
          	#Vissuvere	Wissowerre	0		H	sg g
kõrtso	####	####				
      	#kõrtsi	kõrts	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
jõudnud	jõud=nud	jõud=nud	0		A	
       	jõud=nud	jõud=nud	0		A	sg n
       	jõud=nu	jõud=nu	d		S	pl n
       	jõud=nud	jõud=nud	d		A	pl n
       	@jõudnud	jõud	nud		V	nud
ja	ja	ja	0		J	
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
Laupa	laup	laup	0		S	adt
     	laup	laup	0		S	sg p
     	£Laupa	Laupa	0		H	sg g
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
mees	@mees	mees	0		S	sg n
    	mesi	mesi	s		S	sg in
Mard	####	####				
    	#Mart	Mard	0		H	sg n
Rõõsk	rõõsk	rõõsk	0		A	sg n
     	£Rõõsk	Rõõsk	0		H	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
hobbuse	####	####				
       	#hobuse	hobune	0		S	sg g
ja	ja	ja	0		J	
saniga	####	####				
      	#saaniga	saan	ga		S	sg kom
4	4	4	0		N	?
kord	kord	kord	0		D	
    	@kord	kord	0		S	sg n
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
aianud	####	####				
      	#ajanud	aja	nud		V	nud
ja	ja	ja	0		J	
hobbosega	####	####				
         	#hobusega	hobune	ga		S	sg kom
peale	@peale	peale	0		D	
     	peale	peale	0		K	
     	pea	pea	le		S	sg all
aiades	####	####				
      	#ajades	aja	des		V	des
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
Mard	####	####				
    	#Mart	Mard	0		H	sg n
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
sani	####	####				
    	#saani	saan	0		S	sg g
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
purrustanud	####	####				
           	#purustanud	purusta	nud		V	nud
ja	ja	ja	0		J	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
aiamisse	aia_miss	aia_miss	e		S	pl p
        	£ajamise	ajamine	0		S	sg g
läbbi	####	####				
     	läbi	läbi	0		D	
     	#läbi	läbi	0		K	
     	läbi	läbi	0		V	o
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
ja	ja	ja	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
naine	naine	naine	0		S	sg n
wägga	####	####				
     	#väga	väga	0		D	
wallusad	####	####				
        	#valusad	valus	d		A	pl n
hobid	hobi	hobi	d		S	pl n
     	£hoobid	hoop	d		S	pl n
sanud	####	####				
     	#saanud	saa	nud		V	nud
,	,	,			Z	
ja	ja	ja	0		J	
et	et	et	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
poeg	poeg	poeg	0		S	sg n
Tõnno	####	####				
     	#Tõnu	Tõnno	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
läinud	läinud	läinud	0		A	
      	läinud	läinud	0		A	sg n
      	läinu	läinu	d		S	pl n
      	läinud	läinud	d		A	pl n
      	@läinud	mine	nud		V	nud
Wissowere	####	####				
         	#Vissuvere	Wissowerre	0		H	sg g
kõrtsus	####	####				
       	#kõrtsis	kõrts	s		S	sg in
Mardi	Mart	Mart	0		H	sg g
     	mart	mart	0		S	sg g
     	£Mardi	Mard	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
küssima	####	####				
       	#küsima	küsi	ma		V	ma
,	,	,			Z	
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	#pärast	pärast	0		D	
       	pärast	pärast	0		K	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
4	4	4	0		N	?
kord	kord	kord	0		D	
    	@kord	kord	0		S	sg n
hobbosega	####	####				
         	#hobusega	hobune	ga		S	sg kom
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
aianud	####	####				
      	#ajanud	aja	nud		V	nud
sääl	####	####				
    	#seal	seal	0		D	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
Mard	####	####				
    	#Mart	Mard	0		H	sg n
Tõnno	####	####				
     	Tõnu	Tõnno	0		H	sg n
     	#Tõnu	Tõnno	0		H	sg g
rinnust	@rinnust	rind	ust		S	pl el
       	rinnus	rinnus	t		S	sg p
kinni	kinni	kinni	0		D	
wõtnud	võt=nud	võt=nud	0		A	
      	võt=nud	võt=nud	0		A	sg n
      	võt=nu	võt=nu	d		S	pl n
      	võt=nud	võt=nud	d		A	pl n
      	võt	võt	nud		V	nud
      	@võtnud	võt	nud		V	nud
ja	ja	ja	0		J	
wasto	####	####				
     	vastu	vastu	0		D	
     	#vastu	vastu	0		K	
kõrtso	####	####				
      	#kõrtsi	kõrts	0		S	sg g
ust	@ust	uks	t		S	sg p
   	ust	ust	0		I	
mahha	####	####				
     	#maha	maha	0		D	
lükkanud	####	####				
        	#lükanud	lükka	nud		V	nud
.	.	.			Z	
Mard	####	####				
    	#Mart	Mard	0		H	sg n
Rõõsk	rõõsk	rõõsk	0		A	sg n
     	£Rõõsk	Rõõsk	0		H	sg n
astus	astus	astu	s		V	s
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
ja	ja	ja	0		J	
ütles	ütles	ütle	s		V	s
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
mitte	mitte	mitte	0		D	
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Silmani	silm	silm	ni		S	sg ter
       	£Silmanni	Silmann	0		H	sg g
,	,	,			Z	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
naise	naise	naine	0		S	sg g
,	,	,			Z	
egga	####	####				
    	ega	ega	0		D	
    	#ega	ega	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
poia	####	####				
    	#poja	poeg	0		S	sg g
Tõnno	####	####				
     	Tõnu	Tõnno	0		H	sg n
     	#Tõnu	Tõnno	0		H	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
hobbosega	####	####				
         	#hobusega	hobune	ga		S	sg kom
aianud	####	####				
      	#ajanud	aja	nud		V	nud
;	;	;			Z	
agga	####	####				
    	#aga	aga	0		J	
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
poia	####	####				
    	#poja	poeg	0		S	sg g
Tõnno	####	####				
     	#Tõnu	Tõnno	0		H	sg g
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
kül	####	####				
   	#küll	küll	0		D	
rinnust	@rinnust	rind	ust		S	pl el
       	rinnus	rinnus	t		S	sg p
kinni	kinni	kinni	0		D	
wõtnud	võt=nud	võt=nud	0		A	
      	võt=nud	võt=nud	0		A	sg n
      	võt=nu	võt=nu	d		S	pl n
      	võt=nud	võt=nud	d		A	pl n
      	võt	võt	nud		V	nud
      	@võtnud	võt	nud		V	nud
ja	ja	ja	0		J	
wasta	vasta	vasta	0		V	o
     	vastu	vastu	0		D	
     	@vastu	vastu	0		K	
kõrtso	####	####				
      	#kõrtsi	kõrts	0		S	sg g
ust	@ust	uks	t		S	sg p
   	ust	ust	0		I	
lükkanud	####	####				
        	#lükanud	lükka	nud		V	nud
,	,	,			Z	
sepärrast	####	####				
         	#seepärast	see_pärast	0		D	
,	,	,			Z	
et	et	et	0		J	
Tõnno	####	####				
     	#Tõnu	Tõnno	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
tulnud	tul=nud	tul=nud	0		A	
      	tul=nud	tul=nud	0		A	sg n
      	tul=nud	tul=nud	d		A	pl n
      	@tulnud	tule	nud		V	nud
      	tulnu	tulnu	d		S	pl n
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
küssima	####	####				
       	#küsima	küsi	ma		V	ma
sedda	####	####				
     	#seda	see	da		P	sg p
hobbosega	####	####				
         	#hobusega	hobune	ga		S	sg kom
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
aiamise	####	####				
       	#ajamise	ajamine	0		S	sg g
luggu	####	####				
     	#lugu	lugu	0		S	sg p
.	.	.			Z	
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Silmanni	silm_and	silm_and	0		S	sg g
        	£Silmanni	Silmann	0		H	sg g
naine	naine	naine	0		S	sg n
ja	ja	ja	0		J	
poeg	poeg	poeg	0		S	sg n
Tõnno	####	####				
     	#Tõnu	Tõnno	0		H	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
mitte	mitte	mitte	0		D	
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
sanud	####	####				
     	#saanud	saa	nud		V	nud
;	;	;			Z	
agga	####	####				
    	#aga	aga	0		J	
Tenno	####	####				
     	#Tõnu	Tõnno	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
tunnistust	tunnistust	tunnistus	t		S	sg p
Hakendrehi	####	####				
          	#haakenrihteri	haakenrihter	0		S	sg g
kohtusse	kohtune	kohtune	se		A	adt
        	@kohtusse	kohus	sse		S	sg ill
üllesse	####	####				
       	#üles	üles	0		D	
üttelnud	####	####				
        	#ütelnud	ütle	nud		V	nud
,	,	,			Z	
sepärrast	####	####				
         	#seepärast	see_pärast	0		D	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
enne	enne	enne	0		D	
    	@enne	enne	0		K	
    	enne	enne	0		S	sg n
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
päwa	####	####				
    	#päeva	päev	0		S	sg p
tahtnud	taht=nud	taht=nud	0		A	
       	taht=nud	taht=nud	0		A	sg n
       	taht=nu	taht=nu	d		S	pl n
       	taht=nud	taht=nud	d		A	pl n
       	@tahtnud	taht	nud		V	nud
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
