Kohtokorra	####	####				
          	#kohtu_korra	kohus_kord	0		S	sg g
parrast	pard	pard	st		S	sg el
       	parras	parras	t		S	sg p
       	£pärast	pärast	0		K	
ollid	####	####				
     	#olid	ole	id		V	sid
kokko	####	####				
     	kokku	kogu	0		S	adt
     	#kokku	kokku	0		D	
tulnud	tul=nud	tul=nud	0		A	
      	tul=nud	tul=nud	0		A	sg n
      	tul=nud	tul=nud	d		A	pl n
      	@tulnud	tule	nud		V	nud
      	tulnu	tulnu	d		S	pl n
.	.	.			Z	
Kohtowannem	####	####				
           	#kohtuvanem	kohtu_vanem	0		S	sg n
:	:	:			Z	
Tõnno	####	####				
     	#Tõnu	Tõnno	0		H	sg n
Kirschman	####	####				
         	#Kirschman	Kirschman	0		H	sg n
abbimees	####	####				
        	#abimees	abi_mees	0		S	sg n
:	:	:			Z	
Hans	Hans	Hans	0		H	sg n
Lintberg	####	####				
        	#Lintberg	Lintberg	0		H	sg n
wollimees	volli_mees	volli_mees	0		S	sg n
         	£volimees	voli_mees	0		S	sg n
:	:	:			Z	
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Ilwes	ilves	ilves	0		S	sg n
     	£Ilves	Ilves	0		H	sg n
.	.	.			Z	
Astus	astus	astu	s		V	s
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
Kändast	kännas	kännas	st		S	sg el
       	£Kändast	Kända	st		H	sg el
Mart	@Mart	Mart	0		H	sg n
    	mart	mart	0		S	sg n
Pappiarro	####	####				
         	#Papiaru	Pappiarro	0		H	sg n
44	44	44	0		N	?
aastad	aasta	aasta	d		S	pl n
      	£aastat	aasta	d		S	sg p
wanna	####	####				
     	#vana	vana	0		A	sg n
     	vana	vana	0		A	sg g
     	vana	vana	0		A	sg p
     	vana	vana	0		S	sg n
     	vana	vana	0		S	sg g
     	vana	vana	0		S	sg p
,	,	,			Z	
ja	ja	ja	0		J	
kaebab	kaebab	kaeba	b		V	b
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
krami	####	####				
     	#kraami	kraam	0		S	sg g
kotti	kott	kott	0		S	adt
     	kott	kott	0		S	sg p
     	kotti	kotti	0		D	
     	kott	kott	i		S	pl p
     	£koti	kott	0		S	sg g
Tallinas	####	####				
        	#Tallinnas	Tallinn	s		H	sg in
Punnase	punn_ase	punn_ase	0		S	sg n
       	£Punase	Punnase	0		H	sg g
kõrtso	####	####				
      	#kõrtsi	kõrts	0		S	sg g
howis	####	####				
     	#hoovis	hoov	s		S	sg in
Leewrest	leev_rest	leev_rest	0		S	sg n
        	£Leevrest	Leevre	st		H	sg el
Jakob	Jakob	Jakob	0		H	sg n
Piirfeldi	####	####				
         	#Piirfeldi	Piirfeld	0		H	sg g
