Hütsa	####	####				
     	#Hütsa	Hütsa	0		H	sg g
Perdi	####	####				
     	#Pärdi	Pert	0		H	sg g
Warrandus	####	####				
         	#varandus	varandus	0		S	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ülles	####	####				
     	#üles	üles	0		D	
Kirjotud	####	####				
        	#kirjutatud	kirjuta	tud		V	tud
Mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
Lesse	####	####				
     	#lese	lesk	0		S	sg g
naise	naise	naine	0		S	sg g
ning	ning	ning	0		J	
Poia	####	####				
    	#poja	poeg	0		S	sg g
perrida	####	####				
       	#pärida	päri	da		V	da
jääb	jääb	jää	b		V	b
.	.	.			Z	
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
Kop	####	####				
   	#kop	kop	0		Y	?
Honetäis	####	####				
        	#hoonetäis	hoone_täis	0		D	
palkisid	palkisid	palk	sid		S	pl p
2	2	2	0		N	?
märra	####	####				
     	#mära	mära	0		S	sg p
hobbust	####	####				
       	#hobust	hobune	t		S	sg p
makswad	maksev	maksev	d		A	pl n
       	£maksavad	maks	vad		V	vad
30	30	30	0		N	?
1	1	1	0		N	?
,	,	,			Z	
4ja	####	####				
   	#4	4	0		N	sg g
aastane	aastane	aastane	0		A	sg n
Söin	####	####				
    	#sõnn	sõnn	0		S	sg n
m	m	m	0		Y	?
:	:	:			Z	
12	12	12	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
1,3	1,3	1,3	0		N	?
aastane	aastane	aastane	0		A	sg n
Soin	####	####				
    	#sõnn	sõnn	0		S	sg n
m	m	m	0		Y	?
9	9	9	0		N	?
21	21	21	0		N	?
2he	####	####				
   	#2	2	0		N	sg g
aastane	aastane	aastane	0		A	sg n
Söin	####	####				
    	#sõnn	sõnn	0		S	sg n
m	m	m	0		Y	?
:	:	:			Z	
6	6	6	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
ärrit	####	####				
     	#ärritatud	ärrita	0		V	tud
wassik	####	####				
      	#vasikas	vasik	0		S	sg n
m	m	m	0		Y	?
2	2	2	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
8	8	8	0		N	?
4	4	4	0		N	?
lammast	lammast	lammas	t		S	sg p
makswad	maksev	maksev	d		A	pl n
       	£maksavad	maks	vad		V	vad
4	4	4	0		N	?
Rub	Rub	Rub			H	
   	£rub	rub	0		Y	?
2	2	2	0		N	?
Sigga	####	####				
     	#siga	siga	0		S	sg p
m	m	m	0		Y	?
:	:	:			Z	
8.	8.	8.	0		O	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
12	12	12	0		N	?
Kahhed	####	####				
      	#kahed	kaks	d		N	pl n
pari	pari	pari	0		S	sg g
    	pari	pari	0		S	sg n
    	pari	pari	0		S	sg p
    	£paari	paar	0		N	sg g
hobbuse	####	####				
       	#hobuse	hobune	0		S	sg g
Raud	raud	raud	0		S	sg n
Rattad	rattad	ratas	d		S	pl n
makswad	maksev	maksev	d		A	pl n
       	£maksavad	maks	vad		V	vad
18	18	18	0		N	?
ühhe	####	####				
    	ühe	ühe	0		S	sg n
    	#ühe	üks	0		N	sg g
    	ühe	üks	0		P	sg g
hobbuse	####	####				
       	#hobuse	hobune	0		S	sg g
Raud	raud	raud	0		S	sg n
Rattad	rattad	ratas	d		S	pl n
makswad	maksev	maksev	d		A	pl n
       	£maksavad	maks	vad		V	vad
9	9	9	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
9	9	9	0		N	?
Kahhed	####	####				
      	#kahed	kaks	d		N	pl n
pu	####	####				
  	#puu	puu	0		S	sg g
Rattad	rattad	ratas	d		S	pl n
m	m	m	0		Y	?
:	:	:			Z	
4	4	4	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
27me	####	####				
    	#27	27	0		N	sg g
wakkane	####	####				
       	#vakane	vakane	0		A	sg n
Wilja	Vilja	Vilja	0		H	sg g
     	Vilja	Vilja	0		H	sg n
     	vili	vili	0		S	adt
     	@vilja	vili	0		S	sg g
     	vili	vili	0		S	sg p
Kerst	####	####				
     	#kirst	kirst	0		S	sg n
m	m	m	0		Y	?
:	:	:			Z	
3.	3.	3.	0		O	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
,	,	,			Z	
2	2	2	0		N	?
6	6	6	0		N	?
wakkane	####	####				
       	#vakane	vakane	0		A	sg n
3	3	3	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
10	10	10	0		N	?
23	23	23	0		N	?
wakkane	####	####				
       	#vakane	vakane	0		A	sg n
m	m	m	0		Y	?
:	:	:			Z	
2	2	2	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
50	50	50	0		N	?
Kop	####	####				
   	#kop	kop	0		Y	?
2	2	2	0		N	?
50	50	50	0		N	?
Sola	####	####				
    	#soola	sool	0		S	sg g
Kihha	####	####				
     	#nõu	kiha	0		S	sg n
m	m	m	0		Y	?
.	.	.			Z	
1	1	1	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
1	1	1	0		N	?
Kalla	kalla	kalla	0		S	sg g
     	kalla	kalla	0		S	sg n
     	kalla	kalla	0		V	o
     	£kala	kala	0		S	sg g
polik	####	####				
     	#poolik	poolik	0		S	sg n
m	m	m	0		Y	?
50	50	50	0		N	?
Kop	####	####				
   	#kop	kop	0		Y	?
1	1	1	0		N	?
50	50	50	0		N	?
3	3	3	0		N	?
Kalla	kalla	kalla	0		S	sg g
     	kalla	kalla	0		S	sg n
     	kalla	kalla	0		V	o
     	£kala	kala	0		S	sg g
Kihha	####	####				
     	#nõu	kiha	0		S	sg n
makswad	maksev	maksev	d		A	pl n
       	£maksavad	maks	vad		V	vad
1	1	1	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
1	1	1	0		N	?
2	2	2	0		N	?
tari	tari	tari	0		S	sg n
    	tari	tari	0		V	o
    	£taari	taar	0		S	sg g
kihha	####	####				
     	#nõu	kiha	0		S	sg n
m	m	m	0		Y	?
:	:	:			Z	
2	2	2	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
50	50	50	0		N	?
Kop	####	####				
   	#kop	kop	0		Y	?
,	,	,			Z	
1	1	1	0		N	?
laegas	laegas	laegas	0		S	sg n
m	m	m	0		Y	?
:	:	:			Z	
70	70	70	0		N	?
Kop	####	####				
   	#kop	kop	0		Y	?
3	3	3	0		N	?
20	20	20	0		N	?
3	3	3	0		N	?
,	,	,			Z	
70me	####	####				
    	#70	70	0		N	sg g
tobist	tobi	tobi	st		S	sg el
      	£toobist	toobine	t		A	sg p
,	,	,			Z	
ölle	####	####				
    	#õlle	õlu	0		S	sg g
Kihha	####	####				
     	#nõu	kiha	0		S	sg n
makswad	maksev	maksev	d		A	pl n
       	£maksavad	maks	vad		V	vad
3	3	3	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
3	3	3	0		N	?
2	2	2	0		N	?
40me	####	####				
    	#40	40	0		N	sg g
tobist	tobi	tobi	st		S	sg el
      	£toobist	toobine	t		A	sg p
ölle	####	####				
    	#õlle	õlu	0		S	sg g
Kihha	####	####				
     	#nõu	kiha	0		S	sg p
m	m	m	0		Y	?
:	:	:			Z	
1	1	1	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
20	20	20	0		N	?
Kop	####	####				
   	#kop	kop	0		Y	?
1	1	1	0		N	?
20	20	20	0		N	?
2	2	2	0		N	?
Kärp	kärp	kärp	0		S	sg n
sagi	sagi	sagi	0		V	o
    	sina	sina	0	gi	P	sg n
    	£saagi	saag	0		S	sg p
m	m	m	0		Y	?
:	:	:			Z	
1	1	1	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
20	20	20	0		N	?
Kop	####	####				
   	#kop	kop	0		Y	?
pukswanti	puks_vant	puks_vant	0		S	adt
         	puks_vant	puks_vant	0		S	sg p
         	£vukssaagi	puksvant	0		S	sg p
m	m	m	0		Y	?
20	20	20	0		N	?
kop	kop	kop	0		Y	?
1	1	1	0		N	?
40	40	40	0		N	?
Kässi	####	####				
     	#käsi	käsi	0		S	sg n
saag	saag	saag	0		S	sg n
,	,	,			Z	
m	m	m	0		Y	?
30	30	30	0		N	?
Kop	####	####				
