Ollid	Olli	Olli	d		H	pl n
     	£olid	ole	d		V	sid
Nonni	####	####				
     	#Nonni	Nonni	0		H	sg g
Jaen	####	####				
    	#Jaan	Jaen	0		H	sg n
Ninn	####	####				
    	#Ninn	Ninn	0		H	sg n
ja	ja	ja	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Keil	####	####				
    	#Keil	Keil	0		H	sg n
koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
et	et	et	0		J	
Jaen	####	####				
    	#Jaan	Jaen	0		H	sg n
annab	annab	and	b		V	b
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
puumaa	puu_maa	puu_maa	0		S	sg g
      	puu_maa	puu_maa	0		S	sg n
      	£talukoha	puu_maa	0		S	sg g
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Keil	####	####				
    	#Keil	Keil	0		H	sg n
kätte	käsi	käsi	tte		S	adt
     	@kätte	kätte	0		K	
keige	####	####				
     	#kõige	kõik	0		P	sg g
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
puumaa	puu_maa	puu_maa	0		S	sg g
      	puu_maa	puu_maa	0		S	sg n
      	£talukoha	puu_maa	0		S	sg g
kramiga	####	####				
       	#kraamiga	kraam	ga		S	sg kom
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
siin	@siin	siin	0		D	
    	siin	siin	0		S	sg n
al	####	####				
  	all	all	0		K	
  	#all	all	0		D	
Protokollis	protokolli	protokolli	s		V	s
           	@protokollis	protokoll	s		S	sg in
seiswad	seisev	seisev	d		A	pl n
       	£seisavad	seis	vad		V	vad
ja	ja	ja	0		J	
kumb	kumb	kumb	0		P	sg n
neist	see	see	st		P	pl el
     	@neist	tema	st		P	pl el
ennem	ennem	ennem	0		C	sg n
     	@ennem	ennem	0		D	
surreb	####	####				
      	#sureb	sure	b		V	b
siis	@siis	siis	0		D	
    	siis	siis	0		J	
teine	teine	teine	0		O	sg n
     	@teine	teine	0		P	sg n
kes	kes	kes	0		P	pl n
   	@kes	kes	0		P	sg n
ellab	####	####				
     	#elab	ela	b		V	b
auga	auga	au	ga		S	sg kom
tedda	####	####				
     	#teda	tema	da		P	sg p
mattab	####	####				
      	#matab	mat	b		V	b
Raudwarraks	####	####				
