Ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
tulli	tull	tull	0		S	adt
     	tull	tull	0		S	sg g
     	tull	tull	0		S	sg p
     	@tuli	tule	i		V	s
     	tuli	tuli	0		S	sg n
kõrtsimees	kõrtsimees	kõrtsi_mees	0		S	sg n
Simon	Simon	Simon	0		H	sg n
Zanne	####	####				
     	#Sanne	Zanne	0		H	sg n
ja	ja	ja	0		J	
kaibas	####	####				
      	#kaebas	kaeba	s		V	s
et	et	et	0		J	
Andre	Andre	Andre	0		H	sg g
     	@Andre	Andre	0		H	sg n
Sok	####	####				
   	#Sokk	Sok	0		H	sg n
,	,	,			Z	
Michel	####	####				
      	#Mihkel	Michel	0		H	sg n
Sok	####	####				
   	#Sokk	Sok	0		H	sg n
ja	ja	ja	0		J	
Kersna	####	####				
      	#Kersna	Kersna	0		H	sg g
Erik	Erik	Erik	0		H	sg n
wõtnu	võt=nu	võt=nu	0		S	sg g
     	võt=nu	võt=nu	0		S	sg n
     	£võtnud	võt	nu		V	nud
pole	ole	ole	0		V	neg o
    	£poole	pool	0		N	sg g
tuupi	tuupi	tuupi	0		X	
     	£toobi	toop	0		S	sg g
wina	vina	vina	0		S	sg g
    	vina	vina	0		S	sg n
    	vina	vina	0		S	sg p
    	vina	vina	0		V	o
    	£viina	viin	0		S	sg p
lännü	####	####				
     	#läinud	mine	nnü		V	nud
Claveri	####	####				
       	#klaveri	klaver	0		S	sg g
kambrede	####	####				
        	#kambrisse	kamber	de		S	sg ill
jonu	####	####				
    	#joonud	joo	nu		V	nud
se	####	####				
  	see	see	0		P	sg n
  	#selle	see	0		P	sg g
wina	vina	vina	0		S	sg g
    	vina	vina	0		S	sg n
    	vina	vina	0		S	sg p
    	vina	vina	0		V	o
    	£viina	viin	0		S	sg g
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
sis	####	####				
   	#siis	siis	0		D	
   	siis	siis	0		J	
lännü	####	####				
     	#läinud	mine	nnü		V	nud
kõrtsi	kõrts	kõrts	0		S	adt
      	@kõrtsi	kõrts	0		S	sg g
      	kõrts	kõrts	0		S	sg p
mehhe	####	####				
     	#mehe	mees	0		S	sg g
tüttär	####	####				
      	#tütar	tütar	0		S	sg n
ja	ja	ja	0		J	
tundnu	tund=nu	tund=nu	0		S	sg g
      	tund=nu	tund=nu	0		S	sg n
      	@tundnud	tund	nu		V	nud
et	et	et	0		J	
sääl	####	####				
    	#seal	seal	0		D	
kambrest	####	####				
        	#kambrist	kamber	st		S	sg el
komodi	####	####				
      	#kummuti	kummut	0		S	sg g
päält	####	####				
     	#pealt	pealt	0		K	
     	pealt	pealt	0		D	
üts	####	####				
   	üks	üks	0		N	sg n
   	#üks	üks	0		P	sg n
klaasmuna	klaas_muna	klaas_muna	0		S	sg g
         	@klaasmuna	klaas_muna	0		S	sg n
         	klaas_muna	klaas_muna	0		S	sg p
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
kaddonu	####	####				
       	#kadunud	kadu	nu		V	nud
sis	####	####				
   	#siis	siis	0		D	
   	siis	siis	0		J	
lännü	####	####				
     	#läinud	mine	nnü		V	nud
kõrtsimees	kõrtsimees	kõrtsi_mees	0		S	sg n
ka	ka	ka	0		D	
kaema	kaema	kae	ma		V	ma
nink	####	####				
    	#ning	ning	0		J	
otsma	####	####				
     	#otsima	otsi	ma		V	ma
ent	ent	ent	0		J	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
löudnu	####	####				
      	#leidnud	leid	nu		V	nud
.	.	.			Z	
Siss	siss	siss	0		S	sg n
    	£siis	siis	0		D	
lännü	####	####				
     	#läinud	mine	nnü		V	nud
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
otsma	####	####				
     	#otsima	otsi	ma		V	ma
Peter	Peeter	Peter	0		H	sg n
Windt	####	####				
     	#Windt	Windt	0		H	sg n
ja	ja	ja	0		J	
Tannil	####	####				
      	#Tanel	Tannil	0		H	sg n
Semenga	####	####				
       	#Seemnega	Seme	ga		H	sg kom
nink	####	####				
    	#ning	ning	0		J	
köüdnü	####	####				
      	#köitnud	köit	nü		V	nud
wäljast	väli	väli	st		S	sg el
       	väljast	väljast	0		D	
       	£väljas	väljas	0		D	
puuriida	puuriida	puu_riit	0		S	sg g
sissest	####	####				
       	#seest	seest	0		K	
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
nink	####	####				
    	#ning	ning	0		J	
arwap	####	####				
     	#arvab	arva	p		V	b
et	et	et	0		J	
ne	####	####				
  	#need	see	0		P	pl n
kolm	kolm	kolm	0		N	sg n
kiik	kiik	kiik	0		S	sg n
    	£kõik	kõik	0		P	sg n
wargat	####	####				
      	#vargad	varas	t		S	pl n
omma	####	####				
    	oma	oma	0		P	sg g
    	#on	ole	0		V	vad
.	.	.			Z	
Michel	####	####				
      	#Mihkel	Michel	0		H	sg n
Sok	####	####				
   	#Sokk	Sok	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
meije	####	####				
     	#meie	mina	0		P	pl n
ollime	####	####				
      	#olime	ole	ime		V	sime
kül	####	####				
   	#küll	küll	0		D	
sääl	####	####				
    	#seal	seal	0		D	
kambren	####	####				
       	#kambris	kamber	n		S	sg in
ja	ja	ja	0		J	
jõijemi	####	####				
       	#jõime	joo	ijemi		V	sime
wina	vina	vina	0		S	sg g
    	vina	vina	0		S	sg n
    	vina	vina	0		S	sg p
    	vina	vina	0		V	o
    	£viina	viin	0		S	sg p
ent	ent	ent	0		J	
sest	@sest	see	st		P	sg el
    	sest	sest	0		J	
munna	####	####				
     	#muna	muna	0		S	sg g
kaddomisest	####	####				
           	#kadumisest	kadumine	st		S	sg el
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tija	####	####				
    	#tea	tead	0		V	o
ja	ja	ja	0		J	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
ka	ka	ka	0		D	
tedda	####	####				
     	#teda	tema	da		P	sg p
nä	####	####				
  	#näinud	näge	0		V	nud
..	..	..			Z	
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
muud	muu	muu	d		P	pl n
    	@muud	muu	d		P	sg p
    	muu	muu	d		S	pl n
    	muu	muu	d		S	sg p
    	muu	muu	d		V	d
kui	kui	kui	0		D	
   	@kui	kui	0		J	
kõrtsimees	kõrtsimees	kõrtsi_mees	0		S	sg n
nakkas	nakkas	nakka	s		V	s
takkan	####	####				
      	#taga	taga	0		D	
otsma	####	####				
     	#otsima	otsi	ma		V	ma
