Ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
tulli	tull	tull	0		S	adt
     	tull	tull	0		S	sg g
     	tull	tull	0		S	sg p
     	@tuli	tule	i		V	s
     	tuli	tuli	0		S	sg n
Wastselina	vastse_lina	vastse_lina	0		S	sg g
          	vastse_lina	vastse_lina	0		S	sg n
          	vastse_lina	vastse_lina	0		S	sg p
          	£Vastseliina	Wastselina	0		H	sg g
moisa	####	####				
     	#mõisa	mõis	0		S	sg g
walitseja	valitseja	valitseja	0		S	sg g
         	@valitseja	valitseja	0		S	sg n
herra	####	####				
     	#härra	härra	0		S	sg n
C.Brown	####	####				
       	#C._Brown	C._Brown	0		H	sg n
ja	ja	ja	0		J	
kaibas	####	####				
      	#kaebas	kaeba	s		V	s
et	et	et	0		J	
Mõttus	Mõttus	Mõttus	0		S	sg n
kottuse	####	####				
       	#kotuse	kotus	0		S	sg g
rentnik	rentnik	rentnik	0		S	sg n
Peter	Peeter	Peter	0		H	sg n
Horn	####	####				
    	#Horn	Horn	0		H	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
piddawat	####	####				
        	#pidavat	pida	vat		V	vat
oma	oma	oma	0		A	sg g
   	oma	oma	0		A	sg n
   	oma	oma	0		A	sg p
   	oma	oma	0		D	
   	@oma	oma	0		P	sg g
   	oma	oma	0		P	sg n
   	oma	oma	0		P	sg p
   	oma	oma	0		S	sg g
   	oma	oma	0		S	sg n
   	oma	oma	0		S	sg p
   	oma	oma	0		V	o
kontrakti	####	####				
         	#kontrahi	kontraht	0		S	sg g
perra	####	####				
     	perra	perra	0		D	
     	#perra	perra	0		K	
neid	neid	neid	0		S	sg n
    	@neid	see	d		P	pl p
    	tema	tema	d		P	pl p
honid	####	####				
     	#hooneid	hoone	id		P	pl p
kõrran	####	####				
      	#korras	kord	n		S	sg in
nink	####	####				
    	#ning	ning	0		J	
olewat	ole	ole	vat		V	vat
      	olev	olev	t		A	sg p
      	olev	olev	t		S	sg p
      	@olevat	ole	vat		V	vat
ne	####	####				
  	#need	see	0		P	pl n
hone	####	####				
    	#hooned	hoone	0		S	pl n
ennämbast	####	####				
         	#enamasti	enamasti	0		D	
kiik	kiik	kiik	0		S	sg n
    	£kõik	kõik	0		P	sg n
halwa	@halva	halb	0		A	sg g
     	halva	halva	0		V	o
kattustega	katt_uks	katt_uks	tega		S	pl kom
          	£katustega	katus	tega		S	pl kom
ütsinda	####	####				
       	#üksinda	üksinda	0		D	
rehhe	####	####				
      	#rehed	rehe	0		S	pl n
olewat	ole	ole	vat		V	vat
      	olev	olev	t		A	sg p
      	olev	olev	t		S	sg p
      	@olevat	ole	vat		V	vat
kõrran	####	####				
      	#korras	kord	n		S	sg in
nink	####	####				
    	#ning	ning	0		J	
ka	ka	ka	0		D	
alumatse	####	####				
        	#alumised	alumine	0		A	pl n
palgi	palk	palk	0		S	sg g
     	£palgid	palk	0		S	pl n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
maddänü	####	####				
       	#mädanenud	mädane	nü		V	nud
sis	####	####				
   	#siis	siis	0		D	
   	siis	siis	0		J	
nõwwap	####	####				
      	#nõuab	nõud	p		V	b
herra	####	####				
     	#härra	härra	0		S	sg n
Brown	####	####				
     	#Brown	Brown	0		H	sg n
et	et	et	0		J	
ne	####	####				
  	#need	see	0		P	pl n
honed	####	####				
     	#hooned	hoone	d		S	pl n
kiik	kiik	kiik	0		S	sg n
    	£kõik	kõik	0		P	sg n
kuu	@kuu	kuu	0		S	sg g
   	kuu	kuu	0		S	sg n
aja	@aja	aeg	0		S	sg g
   	aja	aja	0		V	o
sissen	####	####				
      	#sees	sees	0		D	
kõrda	####	####				
     	#korda	kord	0		S	adt
omma	####	####				
    	oma	oma	0		P	sg g
    	#on	ole	0		V	vad
säetü	####	####				
     	#seatud	sead	tü		V	tud
nink	####	####				
    	#ning	ning	0		J	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
et	et	et	0		J	
ne	####	####				
  	#need	see	0		P	pl n
honet	####	####				
     	#hooned	hoone	t		S	pl n
tõtteste	####	####				
        	#tõesti	tõesti	0		D	
kõrda	####	####				
     	#korda	kord	0		S	adt
sawa	####	####				
    	#saavad	saa	va		V	vad
pantus	####	####				
      	#pandud	pane	tus		V	tud tr
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
200	200	200	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
Peter	Peeter	Peter	0		H	sg n
Horni	####	####				
     	#Horni	Horn	0		H	sg g
warrandust	varr_and_uks	varr_and_uks	t		S	sg p
          	£varandust	varandus	t		S	sg p
kinni	kinni	kinni	0		D	
panda	pand	pand	0		S	adt
     	pand	pand	0		S	sg p
     	panda	panda	0		S	sg g
     	panda	panda	0		S	sg n
     	pane	pane	da		V	ta
     	£panna	pane	da		V	da
kuni	@kuni	kuni	0		J	
    	kuni	kuni	0		K	
se	####	####				
  	#see	see	0		P	sg n
nõudmine	nõudmine	nõudmine	0		S	sg n
om	####	####				
  	#on	ole	0		V	b
täüdetü	####	####				
       	#täidetud	täit	tud		V	tud
.	.	.			Z	
II	@II	II	0		O	?
  	II	II	0		Y	?
olewat	ole	ole	vat		V	vat
      	olev	olev	t		A	sg p
      	olev	olev	t		S	sg p
      	@olevat	ole	vat		V	vat
Peter	Peeter	Peter	0		H	sg n
Horn	####	####				
    	#Horn	Horn	0		H	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
kattuse	####	####				
       	#katuse	katus	0		S	sg g
päält	####	####				
     	#pealt	pealt	0		K	
     	pealt	pealt	0		D	
mõtsa	####	####				
     	metsa	mets	0		S	sg g
     	metsa	mets	0		S	adt
     	#metsa	mets	0		S	sg p
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
raggonu	####	####				
       	#raiunud	ragu	nu		V	nud
260	260	260	0		N	?
puud	puud	puud	0		S	sg n
    	puu	puu	d		S	pl n
    	@puud	puu	d		S	sg p
üle	üle	üle	0		D	
   	@üle	üle	0		K	
oma	oma	oma	0		A	sg g
   	oma	oma	0		A	sg n
   	oma	oma	0		A	sg p
   	oma	oma	0		D	
   	@oma	oma	0		P	sg g
   	oma	oma	0		P	sg n
   	oma	oma	0		P	sg p
   	oma	oma	0		S	sg g
   	oma	oma	0		S	sg n
   	oma	oma	0		S	sg p
   	oma	oma	0		V	o
kontrakti	####	####				
         	#kontrahi	kontraht	0		S	sg g
kostest	koste	koste	st		S	sg el
       	¤					
enne	@enne	enne	0		D	
    	enne	enne	0		K	
    	enne	enne	0		S	sg n
40	40	40	0		N	?
ladwa	latva	latv	0		S	sg g
palki	palk	palk	0		S	adt
     	@palki	palk	0		S	sg p
lauda	laud	laud	0		S	adt
     	laud	laud	0		S	sg p
     	@lauda	laut	0		S	sg g
laes	laad	laad	s		S	sg in
    	@laes	lagi	s		S	sg in
om	####	####				
  	#on	ole	0		V	b
pruuknu	####	####				
       	#pruukinud	pruuki	nu		V	nud
ent	ent	ent	0		J	
muido	####	####				
     	#muidu	muidu	0		D	
om	####	####				
  	#on	ole	0		V	b
kiik	kiik	kiik	0		S	sg n
    	£kõik	kõik	0		P	sg n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
häotedu	####	####				
       	#hävitatud	häötä	du		V	tud
,	,	,			Z	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
nõwwap	####	####				
      	#nõuab	nõud	p		V	b
herra	####	####				
     	#härra	härra	0		S	sg n
C.Brown	####	####				
       	#C._Brown	C._Brown	0		H	sg n
220	220	220	0		N	?
Rbl	####	####				
   	#rbl	rbl	0		Y	?
.	.	.			Z	
nink	####	####				
    	#ning	ning	0		J	
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
mõtsa	####	####				
     	#metsa	mets	0		S	sg g
     	metsa	mets	0		S	adt
     	metsa	mets	0		S	sg p
wargus	vargus	vargus	0		S	sg n
      	£varguse	vargus	0		S	sg g
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
trahwida	trahvida	trahvi	da		V	da
.	.	.			Z	
Peter	Peeter	Peter	0		H	sg n
