Kutsoti	kuts_ott	kuts_ott	0		S	sg g
       	£kutsuti	kutsu	ti		V	ti
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Räbas	####	####				
     	#Räbas	Räbas	0		H	sg n
ning	ning	ning	0		J	
küssiti	####	####				
       	#küsiti	küsi	ti		V	ti
kuida	####	####				
     	#kuidas	kuidas	0		D	
see	see	see	0		P	sg n
tülli	tüli	tüli	0		S	adt
     	tüll	tüll	0		S	adt
     	tüll	tüll	0		S	sg g
     	tüll	tüll	0		S	sg p
     	tülli	tülli	0		D	
     	£tüli	tüli	0		S	sg n
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
Rekandil	####	####				
        	#Rekandil	Rekand	l		H	sg ad
olnut	olnu	olnu	t		S	sg p
     	£olnud	ole	nut		V	nud
ja	ja	ja	0		J	
miks	miks	miks	0		D	
perrast	####	####				
       	pärast	pärast	0		K	
       	#pärast	pärast	0		D	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Rekandi	####	####				
       	#Rekandi	Rekand	0		H	sg g
karwast	karvane	karvane	t		A	sg p
       	@karvast	karv	st		S	sg el
kisknut	####	####				
       	#kiskunud	kisku	nut		V	nud
,	,	,			Z	
kelle	kes	kes	0		P	pl g
     	@kelle	kes	0		P	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
wastas	vastas	vastas	0		D	
      	vastas	vastas	0		K	
      	@vastas	vasta	s		V	s
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
kodda	####	####				
     	¤					
kulnut	####	####				
      	#kuulnud	kuul	nut		V	nud
kuida	####	####				
     	#kuidas	kuidas	0		D	
Lugose	####	####				
