Siit	siit	siit	0		D	
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
tüddrik	####	####				
       	#tüdruk	tüdruk	0		S	sg n
Tio	####	####				
   	#Tiiu	Tio	0		H	sg n
Karelsohn	####	####				
         	#Karelsohn	Karelsohn	0		H	sg n
kaewas	kaeva	kaeva	s		V	s
      	£kaebas	kaeba	s		V	s
et	et	et	0		J	
Hans	Hans	Hans	0		H	sg n
Sönnajalg	####	####				
         	#Sõnajalg	Sönnajalg	0		H	sg n
temmaga	####	####				
       	#temaga	tema	ga		P	sg kom
lihhalikult	####	####				
           	#lihalikult	lihalikult	0		D	
koos	@koos	koos	0		D	
    	koos	koos	0		K	
    	koos	koos	0		S	sg n
    	kubu	kubu	s		S	sg in
ellanut	####	####				
       	#elanud	ela	nut		V	nud
nüd	####	####				
   	#nüüd	nüüd	0		D	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
langenud	langenud	langenud	0		A	
        	langenud	langenud	0		A	sg n
        	langenu	langenu	d		S	pl n
        	@langenud	lange	nud		V	nud
        	langenud	langenud	d		A	pl n
ja	ja	ja	0		J	
pärib	pärib	päri	b		V	b
temmaga	####	####				
       	#temaga	tema	ga		P	sg kom
laulatamist	laulatamist	laulata=mine	t		S	sg p
woi	####	####				
   	või	või	0		S	sg n
   	või	või	0		S	sg g
   	#või	või	0		J	
   	või	või	0		D	
   	või	või	0		V	o
lapsele	lapsele	laps	le		S	sg all
toito	####	####				
     	#toitu	toit	0		S	sg p
,	,	,			Z	
laps	laps	laps	0		S	sg n
ollema	####	####				
      	#olema	ole	ma		V	ma
11mal	####	####				
     	#11ndal	11=s	l		O	sg ad
Märtsil	märtsil	märts	l		S	sg ad
sündinut	sündinud	sündinud	t		A	sg p
        	sündinu	sündinu	t		S	sg p
        	£sündinud	sündi	nut		V	nud
.	.	.			Z	
Hans	Hans	Hans	0		H	sg n
Sönnajalg	####	####				
         	#Sõnajalg	Sönnajalg	0		H	sg n
astus	astus	astu	s		V	s
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
ja	ja	ja	0		J	
tunnistas	tunnistas	tunnista	s		V	s
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
tüddrikoga	####	####				
          	#tüdrukuga	tüdruk	ga		S	sg kom
lihhalikult	####	####				
           	#lihalikult	lihalikult	0		D	
koos	@koos	koos	0		D	
    	koos	koos	0		K	
    	koos	koos	0		S	sg n
    	kubu	kubu	s		S	sg in
ellanud	####	####				
       	#elanud	ela	nud		V	nud
.	.	.			Z	
Ütles	ütles	ütle	s		V	s
agga	####	####				
    	#aga	aga	0		J	
et	et	et	0		J	
see	see	see	0		P	sg n
tüddruk	####	####				
       	#tüdruk	tüdruk	0		S	sg n
tedda	####	####				
     	#teda	tema	da		P	sg p
mitte	mitte	mitte	0		D	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
lapse	lapse	laps	0		S	sg g
issaks	####	####				
      	#isaks	isa	ks		S	sg tr
teiesti	####	####				
       	#täiesti	täiesti	0		D	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
woi	####	####				
   	või	või	0		S	sg n
   	või	või	0		S	sg g
   	või	või	0		J	
   	või	või	0		D	
   	#või	või	0		V	o
nimmetada	####	####				
         	#nimetada	nimeta	da		V	da
waid	vaid	vaid	0		D	
    	@vaid	vaid	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
neinud	####	####				
      	#näinud	näge	nud		V	nud
kui	kui	kui	0		D	
   	@kui	kui	0		J	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
teistega	teine	teine	tega		O	pl kom
        	@teistega	teine	tega		P	pl kom
ka	ka	ka	0		D	
ümber	@ümber	ümber	0		D	
     	ümber	ümber	0		K	
keinud	####	####				
      	#käinud	käi	nud		V	nud
ja	ja	ja	0		J	
nimmelt	nimme	nimme	lt		S	sg abl
       	@nimelt	nimelt	0		D	
Jaak	@Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Sönnajallaga	####	####				
             	#Sõnajalaga	Sönnajalg	ga		H	sg kom
.	.	.			Z	
Ka	ka	ka	0		D	
arwab	arvab	arva	b		V	b
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
et	et	et	0		J	
see	see	see	0		P	sg n
tüddrük	####	####				
       	#tüdruk	tüdruk	0		S	sg n
ühhe	####	####				
    	ühe	ühe	0		S	sg n
    	ühe	üks	0		N	sg g
    	#ühe	üks	0		P	sg g
Paijosi	####	####				
       	#Pajusi	Paijosi	0		H	sg g
soldatiga	soldatiga	soldat	ga		S	sg kom
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ümber	@ümber	ümber	0		D	
     	ümber	ümber	0		K	
keinud	####	####				
      	#käinud	käi	nud		V	nud
,	,	,			Z	
siis	@siis	siis	0		D	
    	siis	siis	0		J	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
see	see	see	0		P	sg n
sinna	sinna	sinna	0		D	
tullnud	####	####				
       	#tulnud	tule	nud		V	nud
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
nemmad	####	####				
      	#nemad	tema	d		P	pl n
weiga	####	####				
     	#väga	väga	0		D	
sobbralikult	####	####				
            	#sõbralikult	sõbralikult	0		D	
ümber	@ümber	ümber	0		D	
     	ümber	ümber	0		K	
keinut	####	####				
      	#käinud	käi	nut		V	nud
,	,	,			Z	
sellegesti	####	####				
          	#selgesti	selgesti	0		D	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tea	tea	tead	0		V	o
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
sedda	####	####				
     	#seda	see	da		P	sg p
tunnistada	tunnistada	tunnista	da		V	da
sest	see	see	st		P	sg el
    	@sest	sest	0		J	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
wöinud	####	####				
      	#võinud	või	nud		V	nud
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
järrele	####	####				
       	järele	järele	0		D	
       	#järele	järele	0		K	
walwada	####	####				
       	#valvata	valva	da		V	da
,	,	,			Z	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
arro	####	####				
    	#aru	aru	0		S	sg g
järrele	####	####				
       	järele	järele	0		D	
       	#järele	järele	0		K	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
see	see	see	0		P	sg n
laps	laps	laps	0		S	sg n
koa	####	####				
   	#ka	ka	0		D	
kolm	kolm	kolm	0		N	sg n
näddalad	####	####				
        	#nädalat	nädal	d		S	sg p
enne	enne	enne	0		D	
    	@enne	enne	0		K	
    	enne	enne	0		S	sg n
aego	####	####				
    	#aegu	aeg	o		S	pl p
sündinut	sündinud	sündinud	t		A	sg p
        	sündinu	sündinu	t		S	sg p
        	£sündinud	sündi	nut		V	nud
.	.	.			Z	
Jaak	@Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Sönnajalg	####	####				
         	#Sõnajalg	Sönnajalg	0		H	sg n
astus	astus	astu	s		V	s
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
ja	ja	ja	0		J	
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
küll	@küll	küll	0		D	
    	küll	küll	0		S	sg n
Tio	####	####				
   	#Tiiu	Tio	0		H	sg n
Karelsohniga	####	####				
            	#Karelsohniga	Karelsohn	ga		H	sg kom
nenda	####	####				
     	#nõnda	nõnda	0		D	
