Peter	Peter	Peter	0		H	sg n
Jaanson	Jaanson	Jaanson	0		H	sg n
kaibab	####	####				
      	#kaebab	kaeba	b		V	b
et	et	et	0		J	
perremees	perre_mees	perre_mees	0		S	sg n
         	@peremees	pere_mees	0		S	sg n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Lepp	lepp	lepp	0		S	sg n
    	£Lepp	Lepp	0		H	sg n
oma	oma	oma	0		A	sg g
   	oma	oma	0		A	sg n
   	oma	oma	0		A	sg p
   	oma	oma	0		D	
   	@oma	oma	0		P	sg g
   	oma	oma	0		P	sg n
   	oma	oma	0		P	sg p
   	oma	oma	0		S	sg g
   	oma	oma	0		S	sg n
   	oma	oma	0		S	sg p
   	oma	oma	0		V	o
naise	naise	naine	0		S	sg g
Anne	@Anne	Anne	0		H	sg g
    	Anne	Anne	0		H	sg n
    	Ann	Ann	e		H	pl p
    	anne	anne	0		S	sg n
ka	ka	ka	0		D	
,	,	,			Z	
tema	@tema	tema	0		P	sg g
    	tema	tema	0		P	sg n
naist	naist	naine	t		S	sg p
Annot	####	####				
     	#Anut	Anno	t		H	sg p
monne	####	####				
     	#mõne	mõni	0		P	sg g
naedale	####	####				
       	#nädala	nädal	0		S	sg g
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
ilma	ilm	ilm	0		S	adt
    	ilm	ilm	0		S	sg g
    	ilm	ilm	0		S	sg p
    	ilma	ilma	0		D	
    	@ilma	ilma	0		K	
süta	####	####				
    	#süüta	süü	ta		S	sg ab
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
perrast	####	####				
       	#pärast	pärast	0		K	
       	pärast	pärast	0		D	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
peksnut	peks=nu	peks=nu	t		S	sg p
       	£peksnud	peks	nut		V	nud
et	et	et	0		J	
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
kelnud	####	####				
      	#keelnud	keel	nud		V	nud
enda	enda	ise	0		P	sg g
hobbest	####	####				
       	#hobust	hobune	t		S	sg p
wõtta	võt	võt	a		V	da
     	võta	võt	0		V	o
     	@võtta	võt	a		V	da
mehhele	####	####				
       	#mehele	mees	le		S	sg all
Leiwa	leiva	leib	0		S	sg g
kotti	kott	kott	0		S	adt
     	@kotti	kott	0		S	sg p
     	kotti	kotti	0		D	
     	kott	kott	i		S	pl p
moisa	####	####				
     	mõisa	mõis	0		S	sg g
     	#mõisa	mõis	0		S	adt
jaerrele	####	####				
        	#järele	järele	0		D	
wija	####	####				
    	#viia	vii	a		V	da
.	.	.			Z	
Perremees	perre_mees	perre_mees	0		S	sg n
         	£peremees	pere_mees	0		S	sg n
olli	####	####				
    	#oli	ole	i		V	s
tedda	####	####				
     	#teda	tema	da		P	sg p
esiste	esine	esine	te		A	pl g
      	esine	esine	te		S	pl g
      	£esiteks	esiteks	0		D	
weljas	####	####				
      	#väljas	väljas	0		D	
kolme	kolm	kolm	0		N	adt
     	kolm	kolm	0		N	sg g
     	@kolme	kolm	0		N	sg p
korda	kord	kord	0		S	adt
     	@korda	kord	0		S	sg p
     	korda	korda	0		V	o
mahha	####	####				
     	#maha	maha	0		D	
wiskanut	####	####				
        	#visanud	viska	nut		V	nud
.	.	.			Z	
Kui	kui	kui	0		D	
   	@kui	kui	0		J	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
tarre	@tarre	tare	0		S	adt
     	tarre	tarre	0		S	sg n
olli	####	####				
    	#oli	ole	i		V	s
lainud	####	####				
      	#läinud	mine	nud		V	nud
olli	####	####				
    	#oli	ole	i		V	s
perrenaine	####	####				
          	#perenaine	pere_naine	0		S	sg n
tedda	####	####				
     	#teda	tema	da		P	sg p
soimanud	####	####				
        	#sõimanud	sõima	nud		V	nud
kelle	kes	kes	0		P	pl g
     	@kelle	kes	0		P	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
perrenaisel	####	####				
           	#perenaisel	pere_naine	l		S	sg ad
wastanud	vasta=nud	vasta=nud	0		A	
        	vasta=nud	vasta=nud	0		A	sg n
        	vasta=nud	vasta=nud	d		A	pl n
        	vastanu	vastanu	d		S	pl n
        	@vastanud	vasta	nud		V	nud
issi	issi	issi	0		S	sg g
    	issi	issi	0		S	sg n
    	£ise	ise	0		P	sg n
olled	####	####				
     	#oled	ole	d		V	d
häbbemata	####	####				
         	#häbematu	häbematu	0		A	sg n
,	,	,			Z	
Mees	@mees	mees	0		S	sg n
    	mesi	mesi	s		S	sg in
maksis	maksis	maks	is		V	s
10	10	10	0		N	?
Rb	####	####				
  	#rbl	rbl	0		Y	
sinno	####	####				
     	#sinu	sina	0		P	sg g
est	####	####				
   	#eest	eest	0		K	
welja	####	####				
     	#välja	välja	0		D	
.	.	.			Z	
Selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
olli	####	####				
    	#oli	ole	i		V	s
esiste	esine	esine	te		A	pl g
      	esine	esine	te		S	pl g
      	£esiteks	esiteks	0		D	
perrenaine	####	####				
          	#perenaine	pere_naine	0		S	sg n
tedda	####	####				
     	#teda	tema	da		P	sg p
kolme	kolm	kolm	0		N	adt
     	kolm	kolm	0		N	sg g
     	@kolme	kolm	0		N	sg p
korda	kord	kord	0		S	adt
     	@korda	kord	0		S	sg p
     	korda	korda	0		V	o
loenud	####	####				
      	#löönud	löö	nud		V	nud
ning	ning	ning	0		J	
perrast	####	####				
       	pärast	pärast	0		K	
       	#pärast	pärast	0		D	
olli	####	####				
    	#oli	ole	i		V	s
perremees	perre_mees	perre_mees	0		S	sg n
         	@peremees	pere_mees	0		S	sg n
tedda	####	####				
     	#teda	tema	da		P	sg p
karwopiddi	####	####				
          	#karvupidi	karvu_pidi	0		D	
moeda	####	####				
     	#mööda	mööda	0		K	
tarret	tarre	tarre	t		S	sg p
      	£taret	tare	t		S	sg p
ümber	@ümber	ümber	0		D	
     	ümber	ümber	0		K	
tomband	####	####				
       	#tõmmanud	tõmba	nd		V	nud
.	.	.			Z	
Tunnistajad	tunnistajad	tunnistaja	d		S	pl n
ollid	####	####				
     	#olid	ole	id		V	sid
Tallotüdrik	####	####				
           	#talutüdruk	talu_tudrük	0		S	sg n
Epp	Epp	Epp	0		H	sg n
Kerb	####	####				
    	#Kerb	Kerb	0		H	sg n
ja	ja	ja	0		J	
pois	poi	poi	s		S	sg in
    	£poiss	poiss	0		S	sg n
Hans	Hans	Hans	0		H	sg n
Asso	Asso	Asso	0		H	sg g
    	@Asso	Asso	0		H	sg n
.	.	.			Z	
Kutsote	####	####				
       	#kutsuti	kutsu	te		V	ti
perremest	####	####				
         	#peremeest	pere_mees	t		S	sg p
