Sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
see	see	see	0		P	sg n
asi	@asi	asi	0		S	sg n
   	asi	asi	0		V	o
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
wöetud	####	####				
      	#võetud	võt	tud		V	tud
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
Nr.	Nr.	Nr	0		Y	?
16	16	16	0		N	?
poolele	pool	pool	le		N	sg all
       	pool	pool	le		S	sg all
       	£pooleli	pooleli	0		D	
jäi	jäi	jää	i		V	s
.	.	.			Z	
Ottu	####	####				
    	#Otto	Ottu	0		H	sg n
Tamme	tamm	tamm	0		S	adt
     	tamm	tamm	0		S	sg g
     	tamm	tamm	0		S	sg p
     	tamm	tamm	e		S	pl p
     	£Tamme	Tamm	0		H	sg g
tüdruk	tüdruk	tüdruk	0		S	sg n
An	####	####				
  	#Ann	An	0		H	sg n
Wiitman	####	####				
       	#Viitman	Wiitman	0		H	sg n
oli	oli	ole	i		V	s
kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
ja	ja	ja	0		J	
tunnistas	tunnistas	tunnista	s		V	s
et	et	et	0		J	
Nelipühi	neli_püha	neli_püha	i		S	pl p
        	£nelipühade	neli_püha	i		S	pl g
laupäew	laupäev	lau_päev	0		S	sg n
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
köik	####	####				
    	#kõik	kõik	0		P	sg n
kahe	kahe	kaks	0		N	sg g
karja	kari	kari	0		S	adt
     	@karja	kari	0		S	sg g
     	kari	kari	0		S	sg p
loomad	loomad	loom	d		S	pl n
tema	@tema	tema	0		P	sg g
    	tema	tema	0		P	sg n
peremehe	peremehe	pere_mees	0		S	sg g
heinamaal	heinamaal	heina_maa	l		S	sg ad
ja	ja	ja	0		J	
karja	kari	kari	0		S	adt
     	@karja	kari	0		S	sg g
     	kari	kari	0		S	sg p
poisid	poi	poi	sid		S	pl p
      	@poisid	poiss	d		S	pl n
ise	ise	ise	0		A	
   	ise	ise	0		D	
   	ise	ise	0		P	pl n
   	@ise	ise	0		P	sg n
ajanud	aja=nud	aja=nud	0		A	
      	aja=nud	aja=nud	0		A	sg n
      	aja=nu	aja=nu	d		S	pl n
      	aja=nud	aja=nud	d		A	pl n
      	@ajanud	aja	nud		V	nud
ära	@ära	ära	0		D	
   	ära	ära	0		V	neg o
.	.	.			Z	
Jüri	Jüri	Jüri	0		H	sg g
    	@Jüri	Jüri	0		H	sg n
Klaasi	klaas	klaas	0		S	adt
      	klaas	klaas	0		S	sg g
      	klaas	klaas	0		S	sg p
      	klaasi	klaasi	0		V	o
      	£Klaasi	Klaas	0		H	sg g
karjapois	karja_poi	karja_poi	s		S	sg in
         	£karjapoiss	karja_poiss	0		S	sg n
oli	oli	ole	i		V	s
kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
ja	ja	ja	0		J	
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
loomad	loomad	loom	d		S	pl n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
ole	ole	ole	0		V	o
heinamaa	@heinamaa	heina_maa	0		S	sg g
        	heina_maa	heina_maa	0		S	sg n
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
saanud	saa=nud	saa=nud	0		A	
      	saa=nud	saa=nud	0		A	sg n
      	saa=nud	saa=nud	d		A	pl n
      	saanu	saanu	d		S	pl n
      	@saanud	saa	nud		V	nud
waid	vaid	vaid	0		D	
    	@vaid	vaid	0		J	
tema	@tema	tema	0		P	sg g
    	tema	tema	0		P	sg n
loomad	loomad	loom	d		S	pl n
kahel	kahel	kaks	l		N	sg ad
korral	@korral	kord	l		S	sg ad
      	korral	korral	0		D	
      	korral	korral	0		K	
kiriku	kiriku	kirik	0		S	sg g
teel	teel	teel	0		K	
    	@teel	tee	l		S	sg ad
käinud	käi=nud	käi=nud	0		A	
      	käi=nud	käi=nud	0		A	sg n
      	käi=nud	käi=nud	d		A	pl n
      	käinu	käinu	d		S	pl n
      	@käinud	käi	nud		V	nud
,	,	,			Z	
aga	aga	aga	0		J	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
Ottu	####	####				
    	#Otto	Ottu	0		H	sg n
Tamm	tamm	tamm	0		S	sg n
    	£Tamm	Tamm	0		H	sg n
neid	neid	neid	0		S	sg n
    	see	see	d		P	pl p
    	@neid	tema	d		P	pl p
peksnud	peks=nud	peks=nud	0		A	
       	peks=nud	peks=nud	0		A	sg n
       	peks=nu	peks=nu	d		S	pl n
       	peks=nud	peks=nud	d		A	pl n
       	@peksnud	peks	nud		V	nud
siis	@siis	siis	0		D	
    	siis	siis	0		J	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
ole	ole	ole	0		V	o
üks	@üks	üks	0		N	sg n
   	üks	üks	0		P	sg n
lojus	lojus	lojus	0		S	sg n
mitte	mitte	mitte	0		D	
Ottu	####	####				
    	#Otto	Ottu	0		H	sg g
krundis	krundis	krunt	s		S	sg in
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
.	.	.			Z	
Ottu	####	####				
    	#Otto	Ottu	0		H	sg n
peksnud	peks=nud	peks=nud	0		A	
       	peks=nud	peks=nud	0		A	sg n
       	peks=nu	peks=nu	d		S	pl n
       	peks=nud	peks=nud	d		A	pl n
       	@peksnud	peks	nud		V	nud
Toomas	@Toomas	Toomas	0		H	sg n
      	Toomas	Toomas	s		H	sg in
      	too	too	mas		V	mas
Hallikat	hallikas	hallikas	t		A	sg p
        	£Hallikat	Hallikas	t		H	sg p
20	20	20	0		N	?
hoopi	hoop	hoop	0		S	adt
     	@hoopi	hoop	0		S	sg p
ja	ja	ja	0		J	
teda	teda	tema	da		P	sg p
8	8	8	0		N	?
hoopi	hoop	hoop	0		S	adt
     	@hoopi	hoop	0		S	sg p
.	.	.			Z	
Toomas	@Toomas	Toomas	0		H	sg n
      	Toomas	Toomas	s		H	sg in
      	too	too	mas		V	mas
Hallikas	hallikas	hallikas	0		A	sg n
        	hallikas	hallikas	s		A	sg in
        	£Hallikas	Hallikas	0		H	sg n
ütles	ütles	ütle	s		V	s
,	,	,			Z	
et	et	et	0		J	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
Ottu	####	####				
    	#Otto	Ottu	0		H	sg n
Tamme	tamm	tamm	0		S	adt
     	tamm	tamm	0		S	sg g
     	tamm	tamm	0		S	sg p
     	tamm	tamm	e		S	pl p
     	£Tamme	Tamm	0		H	sg g
tüdruk	tüdruk	tüdruk	0		S	sg n
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
juures	juures	juures	0		D	
      	@juures	juures	0		K	
      	juur	juur	s		S	sg in
käinud	käi=nud	käi=nud	0		A	
      	käi=nud	käi=nud	0		A	sg n
      	käi=nud	käi=nud	d		A	pl n
      	käinu	käinu	d		S	pl n
      	@käinud	käi	nud		V	nud
siis	@siis	siis	0		D	
    	siis	siis	0		J	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
ole	ole	ole	0		V	o
ühtigi	ühtigi	ühtigi	0		D	
lojuksid	####	####				
        	#lojuseid	lojus	id		S	pl p
Ottu	####	####				
    	#Otto	Ottu	0		H	sg g
krundis	krundis	krunt	s		S	sg in
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
.	.	.			Z	
Ottu	####	####				
    	#Otto	Ottu	0		H	sg n
Tamm	tamm	tamm	0		S	sg n
    	£Tamm	Tamm	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
kaks	kaks	kaks	0		N	sg n
korda	kord	kord	0		S	adt
     	@korda	kord	0		S	sg p
     	korda	korda	0		V	o
