Kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
tuli	@tuli	tule	i		V	s
    	tuli	tuli	0		S	sg n
Tanel	Tanel	Tanel	0		H	sg n
Rusalep	####	####				
       	#Ruusalepp	Rusalep	0		H	sg n
ja	ja	ja	0		J	
kaebas	kaebas	kaeba	s		V	s
,	,	,			Z	
et	et	et	0		J	
Liiso	####	####				
     	#Liisu	Liiso	0		H	sg n
Uukado	####	####				
      	#Uukado	Uukado	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ühe	ühe	ühe	0		S	sg n
   	üks	üks	0		N	sg g
   	@ühe	üks	0		P	sg g
kinni	kinni	kinni	0		D	
pandud	pan=dud	pan=dud	0		A	
      	pan=dud	pan=dud	0		A	sg n
      	pan=du	pan=du	d		S	pl n
      	pan=dud	pan=dud	d		A	pl n
      	@pandud	pane	dud		V	tud
kirja	kiri	kiri	0		S	adt
     	@kirja	kiri	0		S	sg g
     	kiri	kiri	0		S	sg p
     	kirja	kirja	0		A	
     	kirja	kirja	0		V	o
lahti	@lahti	lahti	0		D	
     	laht	laht	i		S	pl p
kiskunud	kisku=nud	kisku=nud	0		A	
        	kisku=nud	kisku=nud	0		A	sg n
        	kisku=nu	kisku=nu	d		S	pl n
        	kisku=nud	kisku=nud	d		A	pl n
        	@kiskunud	kisku	nud		V	nud
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
(	(	(			Z	
postiga	postiga	post	ga		S	sg kom
)	)	)			Z	
tema	@tema	tema	0		P	sg g
    	tema	tema	0		P	sg n
nime	@nime	nimi	0		S	sg g
    	nimi	nimi	0		S	sg p
peäle	####	####				
     	peale	pea	le		S	sg all
     	peale	peale	0		D	
     	#peale	peale	0		K	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
sadetud	####	####				
       	#saadetud	saat	tud		V	tud
.	.	.			Z	
Liiso	####	####				
     	#Liisu	Liiso	0		H	sg n
Uukado	####	####				
      	#Uukado	Uukado	0		H	sg n
sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
kutsutud	kutsutud	kutsutud	0		A	
        	kutsutud	kutsutud	0		A	sg n
        	kutsutu	kutsutu	d		S	pl n
        	@kutsutud	kutsu	tud		V	tud
        	kutsutud	kutsutud	d		A	pl n
,	,	,			Z	
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
ütles	ütles	ütle	s		V	s
,	,	,			Z	
et	et	et	0		J	
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
ole	ole	ole	0		V	o
kirja	kiri	kiri	0		S	adt
     	kiri	kiri	0		S	sg g
     	@kirja	kiri	0		S	sg p
     	kirja	kirja	0		A	
     	kirja	kirja	0		V	o
lahti	@lahti	lahti	0		D	
     	laht	laht	i		S	pl p
kiskunud	kisku=nud	kisku=nud	0		A	
        	kisku=nud	kisku=nud	0		A	sg n
        	kisku=nu	kisku=nu	d		S	pl n
        	kisku=nud	kisku=nud	d		A	pl n
        	@kiskunud	kisku	nud		V	nud
,	,	,			Z	
kiri	kiri	kiri	0		S	sg n
olla	olla	ole	a		V	da
kohe	kohe	kohe	0		A	sg n
    	@kohe	kohe	0		D	
nurgast	nurgast	nurk	st		S	sg el
nattuge	####	####				
       	#natuke	natuke	0		D	
lahti	@lahti	lahti	0		D	
     	laht	laht	i		S	pl p
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
,	,	,			Z	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
mõisast	mõisast	mõis	st		S	sg el
tema	@tema	tema	0		P	sg g
    	tema	tema	0		P	sg n
kätte	käsi	käsi	tte		S	adt
     	@kätte	kätte	0		K	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
antud	an=tu	an=tu	d		S	pl n
     	@antud	and	tud		V	tud
     	antud	antud	0		A	
     	antud	antud	0		A	sg n
     	antud	antud	d		A	pl n
,	,	,			Z	
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
kirja	kiri	kiri	0		S	adt
     	@kirja	kiri	0		S	sg g
     	kiri	kiri	0		S	sg p
     	kirja	kirja	0		A	
     	kirja	kirja	0		V	o
oma	oma	oma	0		A	sg g
   	oma	oma	0		A	sg n
   	oma	oma	0		A	sg p
   	oma	oma	0		D	
   	@oma	oma	0		P	sg g
